[ AI-Rank-Log  4/ 7  9:30:50.398 ]sampleid: 000000019924.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:50.487 ]sampleid: 000000020059.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:50.566 ]sampleid: 000000020107.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:50.655 ]sampleid: 000000020247.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:50.743 ]sampleid: 000000020333.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:50.832 ]sampleid: 000000020553.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:50.927 ]sampleid: 000000020571.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:51.  5 ]sampleid: 000000020992.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:51. 92 ]sampleid: 000000021167.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:51.178 ]sampleid: 000000021465.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:51.267 ]sampleid: 000000021503.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:51.360 ]sampleid: 000000021604.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:51.450 ]sampleid: 000000021839.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:51.544 ]sampleid: 000000021879.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:51.641 ]sampleid: 000000021903.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:51.741 ]sampleid: 000000022192.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:51.831 ]sampleid: 000000022371.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:51.923 ]sampleid: 000000022396.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:52. 22 ]sampleid: 000000022479.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:52.117 ]sampleid: 000000022589.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:52.204 ]sampleid: 000000022623.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:52.299 ]sampleid: 000000022705.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:52.389 ]sampleid: 000000022755.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:52.480 ]sampleid: 000000022892.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:52.569 ]sampleid: 000000022935.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:52.645 ]sampleid: 000000022969.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:52.730 ]sampleid: 000000023023.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:52.828 ]sampleid: 000000023034.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:52.921 ]sampleid: 000000023126.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:53. 23 ]sampleid: 000000023230.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:53.117 ]sampleid: 000000023272.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:53.207 ]sampleid: 000000023359.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:53.300 ]sampleid: 000000023666.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:53.401 ]sampleid: 000000023751.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:53.500 ]sampleid: 000000023781.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:53.595 ]sampleid: 000000023899.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:53.690 ]sampleid: 000000023937.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:53.784 ]sampleid: 000000024021.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:53.875 ]sampleid: 000000024027.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:53.971 ]sampleid: 000000024144.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:54. 70 ]sampleid: 000000024243.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:54.169 ]sampleid: 000000024567.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:54.251 ]sampleid: 000000024610.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:54.329 ]sampleid: 000000024919.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:54.405 ]sampleid: 000000025057.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:54.490 ]sampleid: 000000025096.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:54.567 ]sampleid: 000000025139.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:54.651 ]sampleid: 000000025181.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:54.749 ]sampleid: 000000025228.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:54.848 ]sampleid: 000000025386.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:54.936 ]sampleid: 000000025393.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:55. 31 ]sampleid: 000000025394.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:55.127 ]sampleid: 000000025424.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:55.223 ]sampleid: 000000025560.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:55.331 ]sampleid: 000000025593.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:55.432 ]sampleid: 000000025603.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:55.530 ]sampleid: 000000025986.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:55.629 ]sampleid: 000000026204.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:55.725 ]sampleid: 000000026465.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:55.823 ]sampleid: 000000026564.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:55.927 ]sampleid: 000000026690.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:56. 13 ]sampleid: 000000026926.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:56. 92 ]sampleid: 000000026941.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:56.171 ]sampleid: 000000027186.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:56.249 ]sampleid: 000000027620.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:56.326 ]sampleid: 000000027696.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:56.427 ]sampleid: 000000027768.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:56.527 ]sampleid: 000000027932.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:56.630 ]sampleid: 000000027972.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:56.728 ]sampleid: 000000027982.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:56.831 ]sampleid: 000000028285.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:56.929 ]sampleid: 000000028449.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:57. 32 ]sampleid: 000000028452.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:57.130 ]sampleid: 000000028809.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:57.233 ]sampleid: 000000028993.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:57.335 ]sampleid: 000000029187.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:57.432 ]sampleid: 000000029393.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:57.533 ]sampleid: 000000029397.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:57.634 ]sampleid: 000000029596.jpg, result=true
