[ AI-Rank-Log  4/ 8 12:54: 7.334 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 12:54:11.721 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 8 12:54:26.165 ]sampleid: 000000015278.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:26.270 ]sampleid: 000000015335.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:26.372 ]sampleid: 000000015338.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:26.480 ]sampleid: 000000015440.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:26.585 ]sampleid: 000000015497.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:26.691 ]sampleid: 000000015517.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:26.806 ]sampleid: 000000015597.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:26.888 ]sampleid: 000000015660.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:26.984 ]sampleid: 000000015746.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:27. 79 ]sampleid: 000000015751.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:27.187 ]sampleid: 000000015956.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:27.306 ]sampleid: 000000016010.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:27.406 ]sampleid: 000000016228.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:27.489 ]sampleid: 000000016249.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:27.590 ]sampleid: 000000016439.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:27.706 ]sampleid: 000000016451.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:27.791 ]sampleid: 000000016502.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:27.907 ]sampleid: 000000016598.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:28.  9 ]sampleid: 000000016958.jpg, result=true
