[ AI-Rank-Log  4/ 7 16: 4:17.275 ]sampleid: 000000021503.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.346 ]sampleid: 000000021604.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.418 ]sampleid: 000000021839.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.487 ]sampleid: 000000021879.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.561 ]sampleid: 000000021903.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.629 ]sampleid: 000000022192.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.694 ]sampleid: 000000022371.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.764 ]sampleid: 000000022396.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.833 ]sampleid: 000000022479.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.904 ]sampleid: 000000022589.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:17.974 ]sampleid: 000000022623.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18. 43 ]sampleid: 000000022705.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.113 ]sampleid: 000000022755.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.180 ]sampleid: 000000022892.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.251 ]sampleid: 000000022935.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.320 ]sampleid: 000000022969.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.391 ]sampleid: 000000023023.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.462 ]sampleid: 000000023034.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.530 ]sampleid: 000000023126.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.604 ]sampleid: 000000023230.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.673 ]sampleid: 000000023272.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.741 ]sampleid: 000000023359.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.811 ]sampleid: 000000023666.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.883 ]sampleid: 000000023751.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:18.953 ]sampleid: 000000023781.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19. 25 ]sampleid: 000000023899.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19. 98 ]sampleid: 000000023937.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.170 ]sampleid: 000000024021.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.238 ]sampleid: 000000024027.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.315 ]sampleid: 000000024144.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.389 ]sampleid: 000000024243.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.462 ]sampleid: 000000024567.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.533 ]sampleid: 000000024610.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.606 ]sampleid: 000000024919.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.683 ]sampleid: 000000025057.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.753 ]sampleid: 000000025096.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.824 ]sampleid: 000000025139.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.895 ]sampleid: 000000025181.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:19.968 ]sampleid: 000000025228.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20. 42 ]sampleid: 000000025386.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.114 ]sampleid: 000000025393.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.186 ]sampleid: 000000025394.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.258 ]sampleid: 000000025424.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.330 ]sampleid: 000000025560.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.407 ]sampleid: 000000025593.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.481 ]sampleid: 000000025603.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.555 ]sampleid: 000000025986.jpg, result=true
