AI-Rank-log 1617949766.1703079 sampleid:56d6f1190d65d21400198273, same num=1
AI-Rank-log 1617949766.1703997 sampleid:56d6f1190d65d21400198274, same num=2
AI-Rank-log 1617949766.170531 sampleid:56d6f1190d65d21400198275, same num=3
AI-Rank-log 1617949766.1706066 sampleid:56d6f1190d65d21400198276, same num=1
AI-Rank-log 1617949766.1706793 sampleid:56d99179dc89441400fdb56c, same num=1
AI-Rank-log 1617949766.170753 sampleid:56d99179dc89441400fdb56d, same num=1
AI-Rank-log 1617949766.1708355 sampleid:56d99179dc89441400fdb570, same num=2
AI-Rank-log 1617949766.17092 sampleid:56be59683aeaaa14008c9058, same num=2
AI-Rank-log 1617949766.1710017 sampleid:56be59683aeaaa14008c9059, same num=2
AI-Rank-log 1617949766.1710746 sampleid:56be59683aeaaa14008c905a, same num=1
AI-Rank-log 1617949766.1711483 sampleid:56beb3083aeaaa14008c923d, same num=1
AI-Rank-log 1617949766.1712306 sampleid:56beb3083aeaaa14008c923e, same num=2
AI-Rank-log 1617949766.1713023 sampleid:56beb3083aeaaa14008c923f, same num=1
AI-Rank-log 1617949766.1713812 sampleid:56beb3083aeaaa14008c9240, same num=1
AI-Rank-log 1617949766.1714633 sampleid:56beb3083aeaaa14008c9241, same num=2
AI-Rank-log 1617949766.171537 sampleid:56bf2afe3aeaaa14008c9543, same num=1
AI-Rank-log 1617949766.1716092 sampleid:56bf2afe3aeaaa14008c9544, same num=1
AI-Rank-log 1617949766.1716864 sampleid:56bf2afe3aeaaa14008c9545, same num=1
AI-Rank-log 1617949766.1717672 sampleid:56bf2afe3aeaaa14008c9547, same num=2
AI-Rank-log 1617949766.171867 sampleid:56d6f2000d65d2140019827c, same num=2
AI-Rank-log 1617949766.1719508 sampleid:56d6f2000d65d2140019827d, same num=2
AI-Rank-log 1617949766.17203 sampleid:56d6f2000d65d2140019827e, same num=1
AI-Rank-log 1617949766.1721034 sampleid:56d6f2000d65d2140019827f, same num=1
AI-Rank-log 1617949766.1721854 sampleid:56d9943fdc89441400fdb576, same num=2
AI-Rank-log 1617949766.17226 sampleid:56d9943fdc89441400fdb577, same num=1
AI-Rank-log 1617949766.172341 sampleid:56d9943fdc89441400fdb578, same num=2
AI-Rank-log 1617949766.1724145 sampleid:56d9943fdc89441400fdb57a, same num=1
AI-Rank-log 1617949766.1724858 sampleid:56beb3a03aeaaa14008c9247, same num=1
AI-Rank-log 1617949766.1725578 sampleid:56beb3a03aeaaa14008c9248, same num=1
AI-Rank-log 1617949766.1726298 sampleid:56beb3a03aeaaa14008c9249, same num=1
AI-Rank-log 1617949766.1727 sampleid:56beb3a03aeaaa14008c924a, same num=1
AI-Rank-log 1617949766.1727912 sampleid:56beb3a03aeaaa14008c924b, same num=2
AI-Rank-log 1617949766.1728778 sampleid:56bf6b303aeaaa14008c960b, same num=1
AI-Rank-log 1617949766.1729522 sampleid:56bf6b303aeaaa14008c960c, same num=1
AI-Rank-log 1617949766.1730254 sampleid:56bf6b303aeaaa14008c960d, same num=1
AI-Rank-log 1617949766.173099 sampleid:56bf6b303aeaaa14008c960e, same num=1
AI-Rank-log 1617949766.17318 sampleid:56bf6b303aeaaa14008c960f, same num=0
AI-Rank-log 1617949766.1732528 sampleid:56d6f2960d65d21400198286, same num=1
AI-Rank-log 1617949766.173331 sampleid:56d6f2960d65d21400198287, same num=2
AI-Rank-log 1617949766.1734045 sampleid:56d6f2960d65d21400198288, same num=1
AI-Rank-log 1617949766.1734753 sampleid:56d6f2960d65d21400198289, same num=1
AI-Rank-log 1617949766.1735468 sampleid:56d6f2960d65d2140019828a, same num=1
AI-Rank-log 1617949766.1736367 sampleid:56d997cddc89441400fdb586, same num=1
AI-Rank-log 1617949766.1737115 sampleid:56d997cddc89441400fdb587, same num=1
AI-Rank-log 1617949766.1737874 sampleid:56d997cddc89441400fdb588, same num=1
AI-Rank-log 1617949766.1738617 sampleid:56d997cddc89441400fdb589, same num=1
AI-Rank-log 1617949766.1739328 sampleid:56d997cddc89441400fdb58a, same num=1
AI-Rank-log 1617949766.1740053 sampleid:56beb4343aeaaa14008c925b, same num=1
AI-Rank-log 1617949766.1740773 sampleid:56beb4343aeaaa14008c925c, same num=1
AI-Rank-log 1617949766.1741524 sampleid:56beb4343aeaaa14008c925d, same num=1
AI-Rank-log 1617949766.1742263 sampleid:56beb4343aeaaa14008c925e, same num=1
AI-Rank-log 1617949766.1743057 sampleid:56beb4343aeaaa14008c925f, same num=2
AI-Rank-log 1617949766.1743777 sampleid:56d6f3500d65d21400198290, same num=1
AI-Rank-log 1617949766.1744578 sampleid:56d6f3500d65d21400198291, same num=2
AI-Rank-log 1617949766.174531 sampleid:56d6f3500d65d21400198292, same num=1
AI-Rank-log 1617949766.1746047 sampleid:56d6f3500d65d21400198293, same num=1
AI-Rank-log 1617949766.1746855 sampleid:56d6f3500d65d21400198294, same num=2
AI-Rank-log 1617949766.1747568 sampleid:56d9992fdc89441400fdb59c, same num=1
AI-Rank-log 1617949766.1748333 sampleid:56d9992fdc89441400fdb59e, same num=2
AI-Rank-log 1617949766.1749227 sampleid:56d9992fdc89441400fdb59f, same num=1
AI-Rank-log 1617949766.175008 sampleid:56d9992fdc89441400fdb5a0, same num=1
AI-Rank-log 1617949766.175086 sampleid:56beb4e43aeaaa14008c9265, same num=0
AI-Rank-log 1617949766.1751666 sampleid:56beb4e43aeaaa14008c9266, same num=2
AI-Rank-log 1617949766.1752517 sampleid:56beb4e43aeaaa14008c9267, same num=2
AI-Rank-log 1617949766.1753297 sampleid:56beb4e43aeaaa14008c9268, same num=0
AI-Rank-log 1617949766.175409 sampleid:56beb4e43aeaaa14008c9269, same num=2
AI-Rank-log 1617949766.1754906 sampleid:56bf301c3aeaaa14008c954d, same num=1
AI-Rank-log 1617949766.17557 sampleid:56bf301c3aeaaa14008c954e, same num=2
AI-Rank-log 1617949766.175654 sampleid:56bf301c3aeaaa14008c954f, same num=2
AI-Rank-log 1617949766.175726 sampleid:56bf301c3aeaaa14008c9550, same num=1
AI-Rank-log 1617949766.175824 sampleid:56bf301c3aeaaa14008c9551, same num=5
AI-Rank-log 1617949766.1759052 sampleid:56d6f4030d65d2140019829a, same num=2
AI-Rank-log 1617949766.175987 sampleid:56d6f4030d65d2140019829b, same num=2
AI-Rank-log 1617949766.1760743 sampleid:56d6f4030d65d2140019829c, same num=2
AI-Rank-log 1617949766.1761518 sampleid:56d6f4030d65d2140019829d, same num=1
AI-Rank-log 1617949766.17623 sampleid:56d6f4030d65d2140019829e, same num=0
AI-Rank-log 1617949766.176309 sampleid:56d99b7bdc89441400fdb5c8, same num=2
AI-Rank-log 1617949766.1763892 sampleid:56d99b7bdc89441400fdb5c9, same num=2
AI-Rank-log 1617949766.1764662 sampleid:56d99b7bdc89441400fdb5ca, same num=0
AI-Rank-log 1617949766.1765394 sampleid:56d99b7bdc89441400fdb5cb, same num=1
AI-Rank-log 1617949766.17662 sampleid:56d99b7bdc89441400fdb5cc, same num=2
AI-Rank-log 1617949766.176693 sampleid:56beb57b3aeaaa14008c9279, same num=1
AI-Rank-log 1617949766.176772 sampleid:56beb57b3aeaaa14008c927a, same num=1
AI-Rank-log 1617949766.1768596 sampleid:56beb57b3aeaaa14008c927b, same num=2
